RIDGE,PUB,CRACK,WEIGHT,DENSITY,binaryClass
-5.2277,2.6242,12.8177,7.6768,0.6451,0
7.377,-8.8247,4.9207,-7.8778,-3.7093,0
10.2296,4.6643,-9.9185,-20.8386,0.3835,0
-2.815,4.5986,2.0584,-0.5717,2.6076,0
-9.8439,-0.0617,-4.962,2.1677,6.1107,0
3.1814,-1.5292,-16.3115,-10.1915,0.3485,0
3.6697,1.0225,3.3901,2.7424,-3.5167,0
-2.5016,-1.5205,6.8438,8.4606,-1.4049,0
-4.7204,7.2568,5.496,7.7499,2.0962,0
4.2047,3.1252,16.9828,-6.8422,-0.3776,0
-2.5708,1.7164,-10.8006,-0.0768,2.3526,0
1.6149,5.4381,-2.1772,-0.0159,0.3594,0
-4.1886,-3.3552,5.8873,12.275,-2.5873,0
-4.0755,0.3058,7.0793,4.7801,2.6001,0
-10.7692,5.1132,6.308,18.745,3.996,0
8.9769,-3.9857,-13.0652,-18.2395,-0.8167,0
8.6345,0.0874,-3.6776,-12.0691,-1.0316,0
7.6603,6.3194,-0.7624,-13.4722,-0.9243,0
-14.4379,6.7095,8.4438,16.922,4.9698,0
5.3812,-0.6501,3.4748,-10.0867,-1.2737,0
-10.1711,5.6571,-4.86,14.1979,5.4283,0
6.9697,5.271,-3.0597,-13.4248,1.522,0
-11.9244,-2.442,10.5018,19.4683,1.3434,0
-0.4805,6.5574,-1.493,1.3652,2.516,0
-5.729,-4.6402,8.9868,16.262,-2.592,0
-1.0051,0.0142,-0.0951,0.2148,0.4346,0
-4.691,2.5249,3.1906,10.1873,1.1524,0
0.8924,-4.0797,-0.9551,-1.5613,-0.9289,0
11.3136,12.4425,7.9384,-21.0979,0.9374,0
0.2422,-8.948,8.8532,7.1843,-3.9873,0
0.1567,8.2205,6.5266,1.7291,-1.9806,0
6.4007,0.6084,-0.7847,-3.1299,-3.5933,0
8.6864,-9.9893,-10.8458,-19.02,0.5669,0
-2.1366,-2.7989,-3.452,4.0348,-2.4852,0
4.7658,-1.8023,10.7686,-1.4515,-5.689,0
6.0561,0.5155,15.6692,-6.3722,-1.9492,0
5.8384,-0.3661,-7.3694,-11.4394,0.5251,0
0.64,6.2651,20.9542,5.6109,0.1776,0
-9.7066,0.4998,12.0611,12.1682,2.0471,0
-6.1289,-3.1162,3.0913,10.4672,-1.3066,0
3.9861,-6.2888,5.7491,-9.1492,-1.4916,0
3.4017,-6.6667,-1.4345,-6.0565,0.6654,0
0.6027,-2.7759,13.8957,4.8297,-2.3304,0
8.3386,3.2802,-3.434,-12.0139,-3.9347,0
-8.2574,-5.8233,3.0634,14.0038,1.1093,0
7.2511,4.3729,3.9565,-11.4463,-3.0469,0
4.7087,-0.0018,1.4577,-7.9384,0.8593,0
-1.5048,-2.3272,-1.4265,0.3741,2.4698,0
-1.8905,3.9518,-5.3695,3.0353,1.8689,0
0.1195,-1.8056,-5.95,3.1747,-3.1743,0
10.4404,-1.9885,6.7335,-14.1258,-4.5511,0
-0.1191,0.4665,-0.3633,0.9392,-0.2465,0
-16.9782,-2.2544,-1.3031,21.601,6.4565,0
-0.7538,-4.0462,-1.9296,9.5918,-2.5195,0
-11.1208,-3.4818,9.7858,15.0362,2.0279,0
-12.5293,-3.6988,5.827,12.7219,6.3708,0
-9.2081,9.0702,-3.0283,10.1256,7.1448,0
-1.026,6.1487,-2.9886,8.4681,-2.1918,0
2.8327,-5.1491,-3.5562,-0.4265,0.3398,0
1.0441,-6.8229,-12.4242,-6.4778,-0.2587,0
-1.6801,1.4623,0.7505,4.563,2.8605,0
-3.1784,-0.431,-1.7816,2.0197,0.7838,0
3.3217,-1.7167,-9.2243,-11.3628,-1.1135,0
-2.1792,-0.9528,12.3761,-1.7462,0.2957,0
-10.3616,-3.669,2.8821,16.3967,3.1659,0
-1.812,4.4994,2.7915,0.2855,4.3636,0
12.1429,-0.2296,4.3198,-16.9767,-4.5292,0
4.2097,-1.9193,1.2159,-6.8881,-1.1224,0
6.6144,3.9057,10.6743,-3.8068,-2.9258,0
3.9532,9.3373,1.2727,-4.9009,-0.0457,0
7.8778,-0.376,1.1182,-19.705,2.7611,0
1.314,-11.7119,-8.1661,2.9822,-6.817,0
7.8454,-1.5373,-10.1144,-9.7132,-3.5012,0
-2.4404,-3.0804,-14.2459,-3.8891,1.4466,0
15.9927,-0.5919,-14.2815,-27.5206,-4.8021,0
7.6414,-6.0592,-0.9616,-14.9229,-3.7956,0
3.3892,-4.0845,2.3764,-2.7808,-1.2696,0
-0.283,7.653,10.6993,-1.874,3.6836,0
10.5537,1.0961,1.2288,-15.5199,-4.8925,0
2.2466,-3.6238,3.504,-7.8104,-0.1687,0
-9.1317,-2.5685,9.1289,17.0967,-0.5416,0
-2.0136,3.7131,-7.9276,-0.7183,4.4616,0
2.6724,-7.0395,-5.1527,-4.149,-0.9552,0
4.9666,1.2881,-8.4873,-11.7408,0.6414,0
11.4531,-1.1022,-5.624,-15.9041,-4.5962,0
-4.8352,7.0073,-15.0143,4.9014,6.6045,0
6.8118,-5.5797,-2.2498,-7.4905,-3.3078,0
6.0894,7.1893,-0.2076,-3.4513,-0.7065,0
-0.3029,-4.838,2.979,-2.8974,2.202,0
-2.7418,-7.3617,3.145,6.3453,-1.5565,0
-1.9099,5.3655,2.8523,-3.6469,4.3749,0
-2.5811,-1.0935,-13.8438,8.4747,-0.6608,0
3.6597,-2.3589,-7.2277,-7.1467,-2.0317,0
4.8477,-0.271,-1.4918,-6.7818,-1.7023,0
8.4476,7.3515,-13.4074,-21.0049,-0.1173,0
-1.3294,5.1656,20.1004,6.1056,-1.9925,0
-9.2299,-9.8787,2.4609,18.2151,-0.6026,0
5.2029,-2.0651,-2.6215,-5.6513,-3.3541,0
11.2938,4.8192,5.1777,-12.6717,-4.7821,0
1.6322,6.1674,6.9283,-2.6073,-0.4204,0
2.8049,0.8181,-7.0043,-0.275,-3.716,0
-4.3309,1.7915,7.3073,2.0641,2.4584,0
5.0198,-1.0149,-5.5762,-10.5067,0.1872,0
4.3459,-3.5024,-1.7619,-2.96,-3.5706,0
3.7631,-2.3455,-1.8592,0.8708,-7.1065,0
1.6768,1.4325,3.8242,1.7356,-4.2147,0
-0.8711,-3.9328,-10.398,-1.8328,0.4506,0
1.7226,1.5207,-16.8534,-6.437,1.0643,0
-3.1163,9.9621,-4.7988,-0.1508,3.3598,0
1.843,2.9392,-9.3986,-10.0826,3.6895,0
6.568,-3.8812,-17.1453,-12.7369,-1.0552,0
7.4279,2.174,-8.365,-8.8528,-3.6769,0
-12.5143,-6.3119,12.9437,20.711,-2.4637,0
1.292,-3.5258,-20.46,-4.9292,-0.3648,0
4.7239,5.5588,-1.9248,-8.578,1.45,0
8.8463,-3.6692,1.827,-17.1833,-1.4282,0
-0.8174,8.1099,-1.1368,-1.8248,2.5138,0
-2.4476,0.0772,-15.3631,-4.4325,2.71,0
-1.9549,-9.6373,9.4755,3.8832,-1.7434,0
9.7521,8.0588,-8.7865,-17.5216,1.5627,0
6.8841,1.7159,-1.0428,-8.3708,-2.6177,0
-8.2098,3.6955,10.934,14.7764,1.867,0
0.9293,2.3663,21.6232,2.0258,-1.9405,0
2.7615,-1.861,-5.5209,-6.715,-2.4912,0
-9.4684,-1.2459,1.0878,13.6025,-0.3762,0
3.9644,-5.819,5.6674,-2.8563,-3.8965,0
-7.4484,-2.4747,11.166,12.0058,1.8392,0
-5.3396,5.2236,3.9945,8.5493,1.29,0
6.1883,-0.3639,-0.3729,-9.0459,-1.624,0
-5.1931,-1.4585,6.2713,11.6998,-2.0719,0
-2.8939,-2.2298,-3.4674,10.033,0.4962,0
1.2595,3.8971,-1.8152,-12.9255,2.9066,0
-0.1336,-8.3061,2.1478,-3.8969,1.3118,0
-1.0688,12.1326,5.8042,3.8124,2.1724,0
6.2876,-6.0921,1.7861,-8.077,-2.6376,0
-14.5485,-3.0761,11.4294,20.5553,4.4323,0
-4.3475,-1.1872,-10.9323,0.2141,1.8305,0
-4.8956,-6.2964,-6.2194,10.0521,-2.0309,0
-5.2672,-0.1861,-6.5879,13.4027,-2.9572,0
-3.6393,-4.8573,-2.9545,-1.2295,1.4071,0
-2.747,-5.3436,8.7961,-0.8063,2.2172,0
-4.8793,-3.44,-16.8359,-0.3137,6.4595,0
-3.4391,-10.5063,-3.7135,2.4596,2.2433,0
-8.4714,5.0275,6.9624,11.7452,3.291,0
6.5966,1.1906,-13.2594,-16.4761,-0.0137,0
-2.9213,-6.1132,25.1647,12.1657,-4.5312,0
-8.7846,-3.7969,6.6481,12.1635,1.1114,0
-1.9305,-1.6019,0.852,7.8817,-4.0702,0
6.8916,3.0832,3.6782,-6.2681,-2.8349,0
0.4717,1.0021,-3.5332,2.05,-0.9182,0
12.3465,-1.2732,-3.7817,-19.2434,-4.1349,0
13.0719,-4.486,10.5243,-11.7617,-9.3949,0
-1.2052,-0.8976,14.2954,3.5746,0.4378,0
-5.3192,5.1277,-13.2691,-3.041,9.681,0
6.4048,-0.9636,1.7315,-6.6025,-1.4748,0
0.7293,5.5403,10.7852,-1.0529,-0.9418,0
-5.8468,1.7194,16.1037,10.3161,-0.1872,0
0.2516,13.4131,-7.2091,1.0856,4.1917,0
-8.9832,-0.7541,12.0754,15.5547,3.4146,0
-0.7864,-0.852,-10.5836,0.1323,0.5165,0
-15.2375,-5.5269,0.0045,25.0749,-0.2259,0
-0.507,3.0309,-16.1842,-6.0575,4.6736,0
0.621,5.1639,-12.2518,-0.2508,-0.1845,0
-0.3646,0.2898,-0.2666,0.7146,0.0678,0
9.2195,-4.2511,-11.5996,-15.7289,-2.5511,0
4.2673,-3.1488,-0.3329,-5.8664,-1.08,0
-2.217,-3.8598,-1.9661,3.5908,-0.4186,0
8.3028,-4.0789,-5.2718,-4.0403,-5.2019,0
-3.4964,4.7746,-8.5681,-9.7744,9.1455,0
-0.6615,0.2616,-0.2304,0.5292,-0.0054,0
0.7378,-1.6408,14.7683,11.2014,-7.2601,0
-4.3272,-0.2231,-6.661,11.4837,-0.391,0
-0.7061,-4.8061,-4.5999,-5.2324,1.0377,0
-1.1991,6.5388,-7.4508,-0.5094,0.9862,0
7.5857,1.757,1.8629,-11.1595,-1.4396,0
-6.5421,-1.3549,1.1639,13.3839,-0.572,0
9.741,3.1807,-4.7333,-14.17,-1.7939,0
-3.3695,5.0714,-8.1495,-3.9776,6.2457,0
-4.7585,-2.5128,4.9059,7.9223,-2.1058,0
6.6535,6.6547,16.7988,-7.9318,-3.4195,0
6.2746,-0.9992,-4.3219,-6.9762,-2.2221,0
4.583,-10.4861,5.2062,4.6637,-7.1294,0
-10.1726,-6.6671,-1.2569,19.4553,0.0673,0
-2.9128,0.8139,5.6761,2.4264,3.066,0
-1.5406,3.9351,21.236,7.6611,-3.2307,0
7.6626,3.5587,-2.5525,-10.1262,-2.374,0
1.6676,-4.0295,3.3223,-6.5143,1.525,0
-6.2242,-4.0161,11.8727,9.9955,-0.8209,0
-3.2077,7.8054,13.111,7.4622,0.617,0
-4.3934,-2.9684,10.2732,4.0813,1.0632,0
-2.0287,-9.0338,-16.0267,1.9032,-0.4955,0
0.4338,-7.7492,0.3578,1.6852,-6.0462,0
-0.345,17.2583,6.5671,-1.6788,4.9156,0
-13.0098,-2.9958,10.859,22.7333,0.3831,0
-4.2003,-0.0707,8.8349,7.8617,0.8321,0
-2.7803,5.3436,0.8283,1.3254,1.7372,0
12.5717,4.0625,-2.1996,-23.0312,-0.8929,0
-18.621,-6.3191,6.7075,20.8896,5.7588,0
-2.9955,6.8554,14.1732,7.3253,1.5931,0
-3.513,6.5416,-6.9184,-0.153,3.7631,0
-3.609,0.1786,-1.1134,1.2011,2.2917,0
5.5792,-5.7597,-7.7496,-4.6381,-5.3898,0
3.9514,5.593,6.5273,1.5771,-3.3463,0
-6.0316,9.3823,2.2649,14.1774,2.0985,0
7.7191,6.1894,-13.8597,-8.6191,-0.7176,0
-1.1471,4.3713,-11.3924,5.4794,1.9423,0
6.965,2.4731,-0.6958,-2.5845,-1.9252,0
-0.448,0.3535,-0.2876,0.6958,-0.1276,0
-4.0181,0.1022,-5.8103,0.9082,3.9127,0
3.4471,-5.24,11.9059,-1.2875,-4.735,0
-4.1814,-6.8417,-9.9179,7.2508,0.3239,0
6.6776,-2.5693,4.0154,-10.8325,-4.2377,0
4.8411,9.2548,4.684,-11.6213,1.172,0
6.248,1.3019,-7.6563,-11.1208,-0.2334,0
6.4951,-5.0815,-1.2247,-5.8241,-5.2828,0
0.2552,8.8495,-2.1048,2.8373,0.7311,0
1.8756,-3.7664,7.6259,7.3664,-3.539,0
3.0336,-0.6538,7.6367,1.885,-3.7401,0
-0.5903,-5.9643,-6.0893,-4.1797,-0.1111,0
4.9541,3.4711,12.5973,-8.4886,-1.9221,0
-7.653,1.0776,10.1221,11.7741,1.0893,0
12.6267,-2.9741,1.0383,-14.3607,-5.6092,0
9.4689,4.6598,11.5195,-8.5496,-3.5232,0
6.1774,-5.9191,-11.8303,-4.1198,-2.8888,0
4.498,1.3545,6.9972,-9.6457,-0.8003,0
-5.0584,-5.3958,1.5406,10.0427,-0.1095,0
1.7752,-2.115,-10.01,-9.9736,-0.5746,0
-2.2046,4.2888,-6.6518,-1.4932,1.9002,0
-5.8331,6.3611,-9.9796,0.5577,5.6055,0
-2.0346,-4.0578,2.0495,6.8182,-1.3542,0
-3.9404,6.103,2.5332,3.7763,1.3644,0
4.3995,2.4195,6.8592,-7.6367,-1.816,0
4.3384,2.578,-0.1903,-2.7612,-2.4202,0
-2.2377,-3.4564,-9.4237,-0.3067,2.7364,0
-14.1873,2.4583,-6.0792,14.4717,9.4198,0
0.0718,-8.9749,-18.2317,-2.4883,-1.6781,0
-1.6624,9.044,-9.4559,-5.6456,7.6439,0
-8.4979,-2.7449,9.9864,7.8915,1.9971,0
-7.8081,1.3102,10.4954,9.103,2.6439,0
1.2403,-4.8392,-8.9442,2.2778,-1.6802,0
-1.6976,-1.5063,-6.3446,0.1172,2.0668,0
0.4015,5.1957,-0.2256,2.642,-1.4473,0
5.4076,1.2174,3.1281,-10.1254,-0.0374,0
8.9409,0.1099,-4.3657,-9.7542,-4.0819,0
6.152,0.2061,0.3589,-4.1781,-3.3574,0
-6.9722,-7.1804,0.8744,11.8377,-0.7306,0
-1.8231,-4.6366,-6.5316,5.7564,0.8129,0
-0.8594,9.5613,-3.1252,1.5782,3.4995,0
-5.2819,-7.5413,-3.8192,5.4065,0.9088,0
11.1908,8.3834,4.7462,-17.1873,2.216,0